wordbook_id,word,part_of_speech,meaning_zh,example_en,example_zh,category,difficulty
 2990c5f1-41c5-449e-8b15-fe1a9a421445,agenda,noun,議程,The agenda is ready for the meeting,會議議程已經準備好了,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,appointment,noun,預約,She has an appointment at ten,她十點有一個預約,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,approval,noun,核准,The plan needs final approval,這個計畫需要最後核准,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,arrange,verb,安排,We will arrange a short meeting,我們會安排一場簡短會議,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,attend,verb,參加,Many employees attend the training,許多員工參加訓練,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,available,adjective,可取得的,The manager is available now,經理現在有空,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,benefit,noun,福利,The company offers good benefits,公司提供很好的福利,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,budget,noun,預算,The project has a small budget,這個專案預算不高,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,candidate,noun,候選人,The candidate has strong experience,這位候選人有豐富經驗,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,confirm,verb,確認,Please confirm your flight time,請確認你的航班時間,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,contract,noun,合約,They signed the contract today,他們今天簽了合約,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,deadline,noun,截止期限,The deadline is next Friday,截止期限是下週五,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,department,noun,部門,She works in the sales department,她在業務部門工作,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,discount,noun,折扣,This store offers a ten percent discount,這家店提供九折優惠,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,employee,noun,員工,Each employee received a new badge,每位員工都收到新識別證,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,estimate,noun,估價,The estimate includes labor costs,估價包含人工費用,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,expense,noun,費用,Travel expenses must be reported,差旅費必須申報,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,feedback,noun,回饋,Customer feedback was very helpful,顧客回饋很有幫助,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,invoice,noun,發票,Please send the invoice today,請今天寄出發票,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,manager,noun,經理,The manager approved the request,經理核准了這項請求,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,notice,noun,通知,The notice was posted online,通知已經張貼在線上,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,order,noun,訂單,Your order will arrive tomorrow,你的訂單明天會送達,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,payment,noun,付款,The payment is due today,付款今天到期,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,policy,noun,政策,Please read the company policy,請閱讀公司政策,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,position,noun,職位,He applied for a sales position,他申請了一個業務職位,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,product,noun,產品,This product is very popular,這項產品很受歡迎,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,proposal,noun,提案,The client liked our proposal,客戶喜歡我們的提案,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,purchase,verb,購買,You can purchase tickets online,你可以在線上購買票券,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,receipt,noun,收據,Keep the receipt for your records,請保留收據作為紀錄,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,recruit,verb,招募,The company plans to recruit engineers,公司計畫招募工程師,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,refund,noun,退款,The customer requested a refund,顧客要求退款,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,register,verb,登記,Please register before the event,請在活動前登記,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,remind,verb,提醒,Please remind me tomorrow,請明天提醒我,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,repair,verb,修理,They will repair the copier today,他們今天會修理影印機,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,report,noun,報告,The report is on your desk,報告在你的桌上,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,reservation,noun,預訂,I made a hotel reservation,我訂了一間飯店,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,schedule,noun,時程,The schedule changed this morning,時程今天早上改了,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,shipment,noun,貨運,The shipment arrived on time,貨物準時送達,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,staff,noun,員工,The staff answered all questions,員工回答了所有問題,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,supplier,noun,供應商,The supplier sent new samples,供應商寄來新樣品,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,training,noun,訓練,New staff must complete training,新員工必須完成訓練,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,transfer,verb,轉移,They will transfer the funds today,他們今天會轉移資金,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,update,verb,更新,Please update the client list,請更新客戶名單,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,vacancy,noun,職缺,There is a vacancy in accounting,會計部有一個職缺,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,warranty,noun,保固,The printer has a one year warranty,這台印表機有一年保固,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,warehouse,noun,倉庫,The goods are stored in the warehouse,貨品存放在倉庫裡,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,accurate,adjective,準確的,The information is accurate,這項資訊是準確的,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,additional,adjective,額外的,Additional staff are needed today,今天需要額外人手,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,annual,adjective,年度的,The annual meeting starts soon,年度會議即將開始,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,authorized,adjective,授權的,Only authorized staff may enter,只有授權員工可以進入,toeic_core,medium
 2990c5f1-41c5-449e-8b15-fe1a9a421445,brief,adjective,簡短的,We had a brief discussion,我們進行了簡短討論,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,convenient,adjective,方便的,The location is very convenient,這個地點很方便,toeic_core,easy
 2990c5f1-41c5-449e-8b15-fe1a9a421445,current,adjective,目前的,The current price is lower,目前價格較低,toeic_core,easy
