wordbook_id,word,part_of_speech,meaning_zh,example_en,example_zh,category,difficulty
2990c5f1-41c5-449e-8b15-fe1a9a421445,access,noun,使用權,Employees need access to the system,員工需要系統使用權,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,accommodation,noun,住宿,The company paid for accommodation,公司支付了住宿費,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,achieve,verb,達成,The team achieved its goal,團隊達成了目標,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,active,adjective,活躍的,She is active in the project,她在專案中很活躍,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,address,noun,地址,Please write your address clearly,請清楚填寫你的地址,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,adjust,verb,調整,We need to adjust the schedule,我們需要調整時程,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,advertise,verb,打廣告,They advertise the service online,他們在線上宣傳這項服務,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,advice,noun,建議,Her advice helped the team,她的建議幫助了團隊,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,affordable,adjective,負擔得起的,The hotel offers affordable rooms,這家飯店提供價格實惠的房間,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,agency,noun,代理公司,The agency booked our tickets,代理公司幫我們訂了票,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,agreement,noun,協議,Both sides reached an agreement,雙方達成了協議,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,aisle,noun,走道,The clerk walked down the aisle,店員沿著走道走過去,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,alert,verb,提醒,The system will alert the user,系統會提醒使用者,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,allow,verb,允許,The pass allows entry to the building,這張通行證允許進入大樓,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,alternative,noun,替代方案,We need another alternative,我們需要另一個替代方案,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,amount,noun,金額,The total amount is correct,總金額是正確的,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,analyze,verb,分析,The team will analyze the data,團隊會分析資料,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,application,noun,申請表,Please complete the application,請完成申請表,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,arrival,noun,抵達,The arrival time is ten thirty,抵達時間是十點半,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,article,noun,文章,She read an article about marketing,她讀了一篇關於行銷的文章,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,asset,noun,資產,Experience is a valuable asset,經驗是有價值的資產,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,attachment,noun,附件,The file is in the attachment,檔案在附件裡,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,audit,noun,稽核,The audit starts next week,稽核下週開始,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,automatic,adjective,自動的,The door has an automatic lock,這扇門有自動鎖,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,award,noun,獎項,The company won an award,公司贏得了一個獎項,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,baggage,noun,行李,Your baggage is on the cart,你的行李在推車上,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,bankruptcy,noun,破產,The firm avoided bankruptcy,這家公司避免了破產,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,bargain,noun,便宜貨,This jacket is a bargain,這件外套很划算,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,bill,noun,帳單,The bill arrived by email,帳單透過電子郵件寄來,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,booklet,noun,小冊子,The booklet explains the rules,小冊子說明了規則,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,booth,noun,攤位,Our booth is near the entrance,我們的攤位在入口附近,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,borrow,verb,借入,Employees can borrow office equipment,員工可以借用辦公設備,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,brand,noun,品牌,This brand is popular with travelers,這個品牌很受旅客歡迎,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,brochure,noun,宣傳冊,The brochure lists tour prices,宣傳冊列出旅遊價格,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,bulk,noun,大量,We buy paper in bulk,我們大量購買紙張,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,cancel,verb,取消,They canceled the morning meeting,他們取消了早上的會議,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,capacity,noun,容量,The room has a capacity of fifty,這間房間可容納五十人,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,carrier,noun,運輸公司,The carrier delivered the boxes,運輸公司送達了箱子,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,cashier,noun,收銀員,The cashier gave me change,收銀員找錢給我,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,catalog,noun,型錄,The catalog shows new products,型錄展示新產品,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,celebrate,verb,慶祝,The team celebrated the success,團隊慶祝了成功,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,certificate,noun,證書,She received a training certificate,她收到了一張訓練證書,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,chairperson,noun,主席,The chairperson opened the meeting,主席宣布會議開始,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,checkout,noun,結帳處,The checkout is near the exit,結帳處在出口附近,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,client,noun,客戶,The client asked for details,客戶要求詳細資訊,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,clerk,noun,店員,The clerk helped the customer,店員幫助了顧客,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,code,noun,代碼,Enter the code on the screen,在螢幕上輸入代碼,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,collaborate,verb,合作,Two departments will collaborate,兩個部門會合作,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,commission,noun,佣金,Sales staff earn commission,業務人員賺取佣金,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,commodity,noun,商品,Oil is an important commodity,石油是重要商品,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,commuter,noun,通勤者,Many commuters use this station,許多通勤者使用這個車站,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,compensation,noun,補償,The worker received compensation,工人收到了補償,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,competitive,adjective,有競爭力的,Our prices are competitive,我們的價格有競爭力,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,complaint,noun,抱怨,The complaint was handled quickly,抱怨很快就被處理,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,complete,verb,完成,Please complete the form today,請今天完成表格,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,component,noun,零件,This component is very small,這個零件很小,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,conduct,verb,進行,They will conduct a survey,他們會進行一項調查,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,confidential,adjective,機密的,The document is confidential,這份文件是機密的,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,connection,noun,連接,The internet connection is slow,網路連線很慢,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,consent,noun,同意,We need written consent,我們需要書面同意,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,consider,verb,考慮,Please consider our offer,請考慮我們的提議,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,construction,noun,施工,Construction will begin in June,施工將在六月開始,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,consumer,noun,消費者,Consumers prefer low prices,消費者偏好低價格,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,contain,verb,包含,The package contains three items,包裹包含三件物品,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,content,noun,內容,The website content was updated,網站內容已更新,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,contribute,verb,貢獻,Everyone can contribute ideas,每個人都可以貢獻想法,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,convert,verb,轉換,The software can convert files,這個軟體可以轉換檔案,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,cooperate,verb,合作,The teams cooperate well,這些團隊合作良好,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,copy,noun,副本,Please send me a copy,請寄一份副本給我,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,corporate,adjective,企業的,The corporate office moved downtown,企業總部搬到市中心,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,correspondence,noun,通信,Keep all business correspondence,請保留所有商務通信,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,costly,adjective,昂貴的,The repair was costly,這次維修很昂貴,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,courier,noun,快遞員,The courier arrived early,快遞員提早到了,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,cover,verb,涵蓋,The course covers basic skills,課程涵蓋基本技能,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,credit,noun,信用額度,The bank increased my credit,銀行提高了我的信用額度,toeic_core,easy
2990c5f1-41c5-449e-8b15-fe1a9a421445,criteria,noun,標準,The criteria are listed online,標準列在線上,toeic_core,medium
2990c5f1-41c5-449e-8b15-fe1a9a421445,customs,noun,海關,The package passed customs,包裹通過了海關,toeic_core,medium
