phrase,meaning_zh,usage_zh,example_en,example_zh,category,difficulty
make a reservation,預約訂位,常用於餐廳飯店會議或交通預約,I would like to make a reservation for tonight,我想預約今晚的位子,toeic_phrase,easy
meet the deadline,趕上期限如期完成,常用於工作專案報告或交件期限,We need to meet the deadline by Friday,我們需要在星期五前如期完成,toeic_phrase,medium
submit a report,提交報告,常用於辦公室會議與主管交辦事項,Please submit the report by the end of the day,請在今天結束前提交報告,toeic_phrase,easy
in charge of,負責掌管,用來描述某人負責某項工作或部門,She is in charge of the marketing team,她負責行銷團隊,toeic_phrase,easy
according to,根據依照,常出現在公告報告規定與數據說明中,According to the schedule the meeting starts at ten,根據時程表會議十點開始,toeic_phrase,easy
be responsible for,負責,常用於職責工作內容與職位描述,He is responsible for customer service,他負責客戶服務,toeic_phrase,easy
take place,舉行發生,常用於活動會議展覽或事件,The conference will take place next Monday,會議將於下週一舉行,toeic_phrase,medium
due to,由於因為,常用於正式公告延遲取消原因說明,The flight was delayed due to bad weather,航班因天氣惡劣而延誤,toeic_phrase,medium
fill out a form,填寫表格,常見於申請登記報名與行政流程,Please fill out this form before the interview,請在面試前填寫這份表格,toeic_phrase,easy
on behalf of,代表,常用於商務信件會議與正式發言,I am writing on behalf of our manager,我代表我們經理寫這封信,toeic_phrase,medium
look forward to,期待,常用於商務信件結尾與邀約回覆,I look forward to hearing from you,我期待收到你的回覆,business_email,easy
as soon as possible,盡快,常用於請求對方盡快處理事情,Please reply as soon as possible,請盡快回覆,business_email,easy
at your convenience,在你方便的時候,常用於禮貌請求或安排時間,Please call me at your convenience,請在你方便時打給我,business_email,medium
in advance,事先預先,常用於感謝或提前安排,Thank you in advance for your help,先謝謝你的幫忙,business_email,easy
get in touch with,聯絡,常用於聯繫客戶同事或供應商,I will get in touch with the supplier today,我今天會聯絡供應商,business,easy
follow up on,追蹤跟進,常用於追蹤案件客戶報價或會議事項,I will follow up on the order tomorrow,我明天會追蹤這筆訂單,business,medium
take care of,處理照顧,常用於處理任務或照顧需求,Our team will take care of the issue,我們團隊會處理這個問題,general,easy
deal with,處理應對,常用於處理問題客訴或任務,We need to deal with this problem quickly,我們需要快速處理這個問題,business,easy
work on,從事處理,常用於專案任務或工作進度,She is working on the monthly report,她正在處理月報,general,easy
come up with,想出提出,常用於提出想法計畫或解決方案,We need to come up with a better plan,我們需要想出更好的計畫,business,medium
carry out,執行實施,常用於計畫政策任務的執行,The team will carry out the new policy,團隊將執行新政策,business,medium
set up,設立安排,常用於建立帳戶會議設備或系統,Can you set up the meeting room,你可以安排會議室嗎,business,easy
take part in,參加參與,常用於活動會議訓練或比賽,Many employees will take part in the training,許多員工會參加訓練,toeic_phrase,easy
sign up for,報名註冊,常用於課程活動會員與服務,You can sign up for the workshop online,你可以在線上報名研討會,general,easy
check in,報到辦理入住,常用於飯店機場與活動報到,Please check in at the front desk,請在櫃台報到,travel,easy
check out,退房結帳查看,常用於飯店退房或查看資訊,We need to check out before noon,我們需要在中午前退房,travel,easy
pick up,領取接人,常用於取貨接送或領文件,You can pick up your badge at the desk,你可以在櫃台領取識別證,toeic_phrase,easy
drop off,送下放下,常用於送人送貨或寄放物品,Please drop off the package at reception,請把包裹放在接待處,business,easy
look into,調查了解,常用於問題查詢或深入了解,We will look into the issue immediately,我們會立即調查這個問題,business,medium
find out,查明發現,常用於找出資訊原因或結果,Please find out why the shipment is late,請查明貨物為什麼延遲,business,easy
bring up,提出提到,常用於會議中提出議題或想法,He brought up a good point in the meeting,他在會議中提出了一個好觀點,business,medium
point out,指出,常用於指出問題錯誤或重點,She pointed out a mistake in the report,她指出報告中的錯誤,business,medium
go over,檢查複習討論,常用於檢查文件或複習內容,Let us go over the contract together,我們一起檢查合約,business,medium
go through,經歷檢查完成流程,常用於檢查文件或完成流程,Please go through the application process,請完成申請流程,business,medium
put off,延後推遲,常用於會議活動或計畫延期,The meeting was put off until next week,會議延後到下週,business,medium
call off,取消,常用於取消會議活動或計畫,The event was called off due to rain,活動因下雨而取消,toeic_phrase,medium
run out of,用完耗盡,常用於物品時間資源不足,We ran out of printer paper,我們的印表紙用完了,office,easy
keep track of,追蹤記錄,常用於追蹤進度庫存費用或時間,We need to keep track of all expenses,我們需要記錄所有費用,business,medium
keep in mind,記住留意,常用於提醒對方注意重點,Please keep in mind that the deadline is Friday,請記得截止日是星期五,general,medium
pay attention to,注意,常用於提醒細節安全或重點,Please pay attention to the instructions,請注意說明,general,easy
make sure,確認確保,常用於要求確認某事完成,Please make sure the door is locked,請確認門已鎖好,general,easy
be aware of,知道留意,常用於提醒風險規則或狀況,Employees should be aware of the new rules,員工應該知道新規定,business,medium
